SPASE_AlternateName,HelioData_long_name
['Observatory Station Code: BFO'],Observatory Station Code: BFO
['Observatory Station Code: BOX'],Observatory Station Code: BOX
['Boulder Geophysical Observatory'],Boulder Geophysical Observatory
['Brorfelde Geophysical Observatory'],Brorfelde Geophysical Observatory
['Observatory Station Code: BDV'],Observatory Station Code: BDV
['Observatory Station Code: BRT'],Observatory Station Code: BRT
['Observatory Station Code: BYR'],Observatory Station Code: BYR
['Cambridge Bay Geophysical Observatory'],Cambridge Bay Geophysical Observatory
['CANMOS'],CANMOS
"['Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study', 'CARISMA', 'Canadian Array for Realtime Investigations of Magnetic Activity']",Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
['Observatory Station Code: CCS'],Observatory Station Code: CCS
['Cape Dorset Geophysical Observatory'],Cape Dorset Geophysical Observatory
['Observatory Station Code: CTO'],Observatory Station Code: CTO
"['Observatory Station Code: CWE', 'Uelen']",Observatory Station Code: CWE
"['Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study', 'Canadian Array for Realtime Investigations of Magnetic Activity', 'CANOPUS']",Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
['Observatory Station Code: CAX'],Observatory Station Code: CAX
['Carson City Geophysical Observatory'],Carson City Geophysical Observatory
['Observatory Station Code: CAO'],Observatory Station Code: CAO
['Observatory Station Code: HVN'],Observatory Station Code: HVN
"['Observatory Station Code: CPA', 'Sapa']",Observatory Station Code: CPA
['Observatory Station Code: CLF'],Observatory Station Code: CLF
"['Observatory Station Code: CNH', 'Helong']",Observatory Station Code: CNH
['Observatory Station Code: CTX'],Observatory Station Code: CTX
['Observatory Station Code: CTA'],Observatory Station Code: CTA
['Observatory Station Code: CLH'],Observatory Station Code: CLH
['Observatory Station Code: CDP'],Observatory Station Code: CDP
['Chibougamau Geophysical Observatory'],Chibougamau Geophysical Observatory
['Observatory Station Code: CHBG'],Observatory Station Code: CHBG
['Observatory Station Code: CBI'],Observatory Station Code: CBI
['Clyde River Geophysical Observatory'],Clyde River Geophysical Observatory
['Observatory Station Code: COI'],Observatory Station Code: COI
['College Geophysical Observatory'],College Geophysical Observatory
['Colville National Forest Geophysical Observatory'],Colville National Forest Geophysical Observatory
['Observatory Station Code: CHBR'],Observatory Station Code: CHBR
['CTIO'],CTIO
['Observatory Station Code: DAL'],Observatory Station Code: DAL
['Daneborg Geophysical Observatory'],Daneborg Geophysical Observatory
['Danmarkshavn Geophysical Observatory'],Danmarkshavn Geophysical Observatory
['Observatory Station Code: DAV'],Observatory Station Code: DAV
['Observatory Station Code: DBN'],Observatory Station Code: DBN
['Dead Horse Geophysical Observatory'],Dead Horse Geophysical Observatory
['Dededo Geophysical Observatory'],Dededo Geophysical Observatory
['Observatory Station Code: DLR'],Observatory Station Code: DLR
['Derby Geophysical Observatory'],Derby Geophysical Observatory
['Dikson Geophysical Observatory'],Dikson Geophysical Observatory
['Dombas Geophysical Observatory'],Dombas Geophysical Observatory
['Observatory Station Code: DMC'],Observatory Station Code: DMC
['Donna Geophysical Observatory'],Donna Geophysical Observatory
['Observatory Station Code: DOU'],Observatory Station Code: DOU
['DTU'],DTU
['Observatory Station Code: DRV'],Observatory Station Code: DRV
"['Observatory Station Code: TFS', 'Tblisi']",Observatory Station Code: TFS
['Observatory Station Code: KIV'],Observatory Station Code: KIV
['Eagle Geophysical Observatory'],Eagle Geophysical Observatory
