SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/GOES/15,GOES 15,GOES 15,Geostationary Operational Environmental Satellite 15,"['Geostationary Operational Environmental Satellite 15', '2010-008A', 'GOES P']"
spase://SMWG/Observatory/GOES/16,GOES 16,GOES 16,Geostationary Operational Environmental Satellite 16,"['Geostationary Operational Environmental Satellite 16', '2016-071A', 'GOES R']"
spase://SMWG/Observatory/GOES/17,GOES 17,GOES 17,Geostationary Operational Environmental Satellite 17,"['Geostationary Operational Environmental Satellite 17', '2018-022A', 'GOES S']"
spase://SMWG/Observatory/GOES/2,GOES 2,GOES 2,Geostationary Operational Environmental Satellites 2,"['Geostationary Operational Environmental Satellites 2', '1977-048A']"
spase://SMWG/Observatory/GOES/3,GOES 3,GOES 3,Geostationary Operational Environmental Satellites 3,"['Geostationary Operational Environmental Satellites 3', '1978-062A']"
spase://SMWG/Observatory/GOES/4,Geostationary Operational Environmental Satellites,Geostationary Operational Environmental Satellites 4,1980-074A,"['GOES 4', '1980-074A']"
spase://SMWG/Observatory/GOES/5,GOES 5,GOES 5,1981-049A,"['1981-049A', 'GOES-E']"
spase://SMWG/Observatory/GOES/6,GOES 6,GOES 6,1983-041A,"['1983-041A', 'GOES-F']"
spase://SMWG/Observatory/GOES/7,GOES 7,GOES 7,1987-022A,"['1987-022A', 'GOES-H', 'PEACESAT']"
spase://SMWG/Observatory/GOES/8,GOES 8,GOES 8,1994-022A,"['1994-022A', 'GOES-NEXT', 'GOES-I']"
spase://SMWG/Observatory/GOES/9,GOES 9,GOES 9,1995-025A,"['1995-025A', 'GOES-NEXT', 'GOES-J']"
spase://SMWG/Observatory/GOLD,GOLD,GOLD,Global-scale Observations of the Limb and Disk,"['SES-14', '43175']"
spase://SMWG/Observatory/GONG,GONG Observatory Group,GONG Observatory Group,Global Oscillation Network Group,['Global Oscillation Network Group']
spase://SMWG/Observatory/GRACE,Gravity Recovery and Climate Experiment (GRACE),Gravity Recovery and Climate Experiment (GRACE),Gravity Recovery and Climate Experiment (GRACE),['']
spase://SMWG/Observatory/Granat,Granat,Granat,ASTRON 2,['ASTRON 2']
