ResourceID,hcut_id,short_name,long_name
spase://SMWG/Observatory/GOCE,GOCE,Gravity Field and Steady State Ocean Circulation Explorer (GOCE),Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)
spase://SMWG/Observatory/GOES,GOES,GOES1,Geostationary Operational Environmental Satellites
spase://SMWG/Observatory/GOES/1,GOES_1,GOES 1,Geostationary Operational Environmental Satellites 1
spase://SMWG/Observatory/GOES/10,GOES_10,GOES 10,1997-019A
spase://SMWG/Observatory/GOES/11,GOES_11,GOES 11,2000-022A
spase://SMWG/Observatory/GOES/12,GOES_12,GOES 12,2001-031A
spase://SMWG/Observatory/GOES/13,GOES_13,GOES 13,Geostationary Operational Environmental Satellite 13
spase://SMWG/Observatory/GOES/14,GOES_14,GOES 14,Geostationary Operational Environmental Satellite 14
spase://SMWG/Observatory/GOES/15,GOES_15,GOES 15,Geostationary Operational Environmental Satellite 15
spase://SMWG/Observatory/GOES/16,GOES_16,GOES 16,Geostationary Operational Environmental Satellite 16
spase://SMWG/Observatory/GOES/17,GOES_17,GOES 17,Geostationary Operational Environmental Satellite 17
spase://SMWG/Observatory/GOES/2,GOES_2,GOES 2,Geostationary Operational Environmental Satellites 2
spase://SMWG/Observatory/GOES/3,GOES_3,GOES 3,Geostationary Operational Environmental Satellites 3
spase://SMWG/Observatory/GOES/4,GOES_4,Geostationary Operational Environmental Satellites,1980-074A
spase://SMWG/Observatory/GOES/5,GOES_5,GOES 5,1981-049A
spase://SMWG/Observatory/GOES/6,GOES_6,GOES 6,1983-041A
spase://SMWG/Observatory/GOES/7,GOES_7,GOES 7,1987-022A
spase://SMWG/Observatory/GOES/8,GOES_8,GOES 8,1994-022A
spase://SMWG/Observatory/GOES/9,GOES_9,GOES 9,1995-025A
spase://SMWG/Observatory/GOLD,GOLD,GOLD,Global-scale Observations of the Limb and Disk
spase://SMWG/Observatory/GONG,GONG,GONG Observatory Group,Global Oscillation Network Group
spase://SMWG/Observatory/GRACE,GRACE,Gravity Recovery and Climate Experiment (GRACE),Gravity Recovery and Climate Experiment (GRACE)
spase://SMWG/Observatory/Granat,Granat,Granat,ASTRON 2
spase://SMWG/Observatory/Ground/Abinger,Ground_Abinger,Abinger,Observatory Station Code: ABN
spase://SMWG/Observatory/Ground/Abisko,Ground_Abisko,Abisko,Observatory Station Code: ABK
spase://SMWG/Observatory/Ground/Addis.Ababa,Ground_Addis.Ababa,Addis Ababa,Observatory Station Code: AAE
spase://SMWG/Observatory/Ground/Agincourt,Ground_Agincourt,Agincourt,Observatory Station Code: AGN
spase://SMWG/Observatory/Ground/Akulivik,Ground_Akulivik,Akulivik Geophysical Observatory,Akulivik Geophysical Observatory
spase://SMWG/Observatory/Ground/Alert,Ground_Alert,Alert,Observatory Station Code: ALE
spase://SMWG/Observatory/Ground/Alibag,Ground_Alibag,Alibag,Observatory Station Code: ABG
spase://SMWG/Observatory/Ground/Alma.Ata,Ground_Alma.Ata,Alma Ata,Observatory Station Code: AAA
spase://SMWG/Observatory/Ground/Almeria,Ground_Almeria,Almeria,Observatory Station Code: ALM
spase://SMWG/Observatory/Ground/Amatsia,Ground_Amatsia,Amatsia,Observatory Station Code: AMT
spase://SMWG/Observatory/Ground/Amberley,Ground_Amberley,Amberley,Observatory Station Code: AML
spase://SMWG/Observatory/Ground/Amderma,Ground_Amderma,Amderma Geophysical Observatory,Amderma Geophysical Observatory
spase://SMWG/Observatory/Ground/Americus,Ground_Americus,Americus Geophysical Observatory,Observatory Station Code: AMER
spase://SMWG/Observatory/Ground/Anchorage,Ground_Anchorage,Anchorage Geophysical Observatory,Anchorage Geophysical Observatory
spase://SMWG/Observatory/Ground/Andenes,Ground_Andenes,Andenes Geophysical Observatory,Andenes Geophysical Observatory
spase://SMWG/Observatory/Ground/Annamalainagar,Ground_Annamalainagar,Annamalainagar,Observatory Station Code: ANN
spase://SMWG/Observatory/Ground/Antananarivo,Ground_Antananarivo,Antananarivo,Observatory Station Code: TAN
spase://SMWG/Observatory/Ground/Apia,Ground_Apia,Apia,Observatory Station Code: API
spase://SMWG/Observatory/Ground/Arctic.Village,Ground_Arctic.Village,Arctic Village Geophysical Observatory,Observatory Station Code: ARCT
spase://SMWG/Observatory/Ground/Arctowski,Ground_Arctowski,Arctowski,Observatory Station Code: ARC
spase://SMWG/Observatory/Ground/Arequipa,Ground_Arequipa,Arequipa,Observatory Station Code: ARE
spase://SMWG/Observatory/Ground/Arkhangelsk,Ground_Arkhangelsk,Arkhangelsk,Observatory Station Code: ARK
spase://SMWG/Observatory/Ground/Arti,Ground_Arti,Arti,Observatory Station Code: ARS
spase://SMWG/Observatory/Ground/Ascension.Island,Ground_Ascension.Island,Ascension Island,Observatory Station Code: ASC
spase://SMWG/Observatory/Ground/Ashkhabad,Ground_Ashkhabad,Ashkhabad,Observatory Station Code: ASH
spase://SMWG/Observatory/Ground/Aso,Ground_Aso,Aso,Observatory Station Code: ASO
spase://SMWG/Observatory/Ground/Athabasca,Ground_Athabasca,Athabasca Geophysical Observatory,Athabasca Geophysical Observatory
spase://SMWG/Observatory/Ground/Attu,Ground_Attu,Attu Geophysical Observatory,Attu Geophysical Observatory
spase://SMWG/Observatory/Ground/AUGSBURG,Ground_AUGSBURG,Augsburg Searchcoil Observatory Group,Augsburg College Search Coil Ground Observatory Group
spase://SMWG/Observatory/Ground/AUTUMN,Ground_AUTUMN,AUTUMN,Athabasca University THEMIS UCLA Magnetometer Network
spase://SMWG/Observatory/Ground/Baguio,Ground_Baguio,Baguio,Observatory Station Code: BAG
spase://SMWG/Observatory/Ground/Baker.Lake,Ground_Baker.Lake,Baker Lake Geophysical Observatory,Baker Lake Geophysical Observatory
spase://SMWG/Observatory/Ground/Bangui,Ground_Bangui,Bangui,Observatory Station Code: BNG
spase://SMWG/Observatory/Ground/Bar.Gyora,Ground_Bar.Gyora,Bar Gyora,Observatory Station Code: BGY
spase://SMWG/Observatory/Ground/Baranov,Ground_Baranov,Baranov Geophysical Observatory,Baranov Geophysical Observatory
spase://SMWG/Observatory/Ground/Barentsburg,Ground_Barentsburg,Barentsburg Geophysical Observatory,Barentsburg Geophysical Observatory
spase://SMWG/Observatory/Ground/Barrow,Ground_Barrow,Barrow Geophysical Observatory,Barrow Geophysical Observatory
spase://SMWG/Observatory/Ground/BAS,Ground_BAS,British Antarctic Survey,BAS
spase://SMWG/Observatory/Ground/Bay.Mills,Ground_Bay.Mills,BMLS,Observatory Station Code: BMLS
spase://SMWG/Observatory/Ground/BBSO,Ground_BBSO,Big Bear Solar Observatory,BBSO
spase://SMWG/Observatory/Ground/BCMT,Ground_BCMT,BCMT,Bureau Central De Magnetisme Terrestre France
spase://SMWG/Observatory/Ground/Bear.Island,Ground_Bear.Island,Bear Island,Observatory Station Code: BJN
spase://SMWG/Observatory/Ground/Beijing,Ground_Beijing,Beijing,Observatory Station Code: BJI
spase://SMWG/Observatory/Ground/Beijing.Ming.Tombs,Ground_Beijing.Ming.Tombs,Beijing Ming Tombs,Observatory Station Code: BMT
spase://SMWG/Observatory/Ground/Beloit,Ground_Beloit,Beloit,Observatory Station Code: BLT
spase://SMWG/Observatory/Ground/Belsk,Ground_Belsk,Belsk,Observatory Station Code: BEL
spase://SMWG/Observatory/Ground/Bennington,Ground_Bennington,BENN,Bennington Geophysical Observatory
spase://SMWG/Observatory/Ground/Bereznyaki,Ground_Bereznyaki,Bereznyaki,Observatory Station Code: KGD
spase://SMWG/Observatory/Ground/Bettles,Ground_Bettles,BETT,Bettles Geophysical Observatory
spase://SMWG/Observatory/Ground/BGS,Ground_BGS,BGS,British Geological Survey
spase://SMWG/Observatory/Ground/Big.Delta,Ground_Big.Delta,Big Delta,Observatory Station Code: BDE
spase://SMWG/Observatory/Ground/Bjorn,Ground_Bjorn,Bjorn,Observatory Station Code: BJN
spase://SMWG/Observatory/Ground/Bjornoya,Ground_Bjornoya,Bjornoya Geophysical Observatory,Bjornoya Geophysical Observatory
spase://SMWG/Observatory/Ground/Black.Forest,Ground_Black.Forest,Black Forest,Observatory Station Code: BFO
spase://SMWG/Observatory/Ground/Borok,Ground_Borok,Borok,Observatory Station Code: BOX
spase://SMWG/Observatory/Ground/Boulder,Ground_Boulder,Boulder Geophysical Observatory,Boulder Geophysical Observatory
spase://SMWG/Observatory/Ground/Brorfelde,Ground_Brorfelde,Brorfelde Geophysical Observatory,Brorfelde Geophysical Observatory
spase://SMWG/Observatory/Ground/Budkov,Ground_Budkov,Budkov,Observatory Station Code: BDV
spase://SMWG/Observatory/Ground/Burlington,Ground_Burlington,Burlington,Observatory Station Code: BRT
spase://SMWG/Observatory/Ground/Byrd.Station.2,Ground_Byrd.Station.2,Byrd Station 2,Observatory Station Code: BYR
spase://SMWG/Observatory/Ground/Cambridge.Bay,Ground_Cambridge.Bay,Cambridge Bay Geophysical Observatory,Cambridge Bay Geophysical Observatory
spase://SMWG/Observatory/Ground/CANMOS,Ground_CANMOS,CANMOS,CANMOS
spase://SMWG/Observatory/Ground/CANOPUS,Ground_CANOPUS,CANOPUS,Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth°s Neighborhood) Program Unified Study
spase://SMWG/Observatory/Ground/Cape.Chelyuskin,Ground_Cape.Chelyuskin,Cape Chelyuskin,Observatory Station Code: CCS
spase://SMWG/Observatory/Ground/Cape.Dorset,Ground_Cape.Dorset,CDRT,Cape Dorset Geophysical Observatory
spase://SMWG/Observatory/Ground/Cape.Town,Ground_Cape.Town,Cape Town,Observatory Station Code: CTO
spase://SMWG/Observatory/Ground/Cape.Wellen,Ground_Cape.Wellen,Cape Wellen,Observatory Station Code: CWE
